matchNum,scoreDiff,rpDiff,autoDiff,lastFive,linkPoints,endgamePoints,bluewin,eventNum
123,-2.33,-0.67,7.22,-3.0,2.23,-9.09,1,3
124,68.99,2.79,10.77,6.0,23.34,9.99,1,3
125,-27.87,-1.77,-5.66,-3.0,-10.58,-2.0,1,3
126,30.66,1.78,-1.32,1.0,7.22,16.91,1,3
127,92.23,4.11,23.12,4.0,31.12,1.77,1,3
128,-32.55,-0.1,-4.34,5.0,-10.54,-3.33,0,3
129,-13.78,-1.43,-10.69,-6.0,-3.33,-10.46,0,3
130,4.23,-0.43,6.11,1.0,2.24,3.55,1,3
30,-86.0,-2.0,-16.5,-2.5,-20.0,-2.0,0,4
31,-61.0,-1.5,-27.0,-2.5,-12.5,3.0,0,4
32,152.0,5.5,21.5,5.0,42.5,25.0,1,4
33,20.5,1.0,-7.5,-2.5,5.0,24.0,1,4
34,-10.0,1.0,5.5,5.0,-5.0,-9.0,1,4
35,-66.5,-2.5,8.0,2.5,-22.5,-27.0,0,4
36,40.5,2.0,-8.0,5.0,20.0,-10.0,1,4
37,-38.5,-4.5,-2.5,-5.0,-5.0,-32.0,0,4
38,14.0,2.0,6.0,0.0,2.5,-6.0,0,4
39,74.67,1.16,12.33,0.85,28.34,-13.67,1,4
40,-15.68,0.0,9.35,3.35,3.33,-23.34,0,4
41,106.34,4.0,9.66,3.35,31.66,22.0,1,4
42,1.0,1.34,12.01,3.35,3.33,-10.67,0,4
43,-20.01,-2.34,18.67,-3.35,-13.33,3.33,0,4
44,65.0,3.66,4.34,6.65,21.66,10.67,0,4
45,54.67,2.33,9.34,1.65,23.34,5.33,1,4
46,-26.0,-1.67,-3.33,-3.35,-10.0,11.33,0,4
47,51.67,1.0,27.0,0.0,14.99,-3.32,1,4
48,41.68,2.67,-3.33,8.35,13.33,6.66,0,4
49,5.01,1.33,4.33,-0.0,1.66,9.34,1,4
50,-14.67,2.0,-3.67,3.35,-8.32,3.34,1,4
51,-1.67,-0.67,0.33,1.65,-0.01,-16.0,0,4
52,51.92,2.75,1.33,3.35,16.66,5.67,0,4
53,-31.75,-2.0,0.75,-2.5,-11.25,-9.5,0,4
54,38.75,1.25,-2.75,2.5,11.25,7.0,1,4
55,-7.0,-1.25,-6.5,-2.5,1.25,-3.0,1,4
56,69.25,1.5,-6.25,-1.25,16.25,30.0,1,4
57,-8.0,1.0,6.75,3.75,0.0,-17.5,1,4
58,1.5,0.5,-0.5,2.5,-5.0,3.0,0,4
59,11.25,1.25,9.5,2.5,6.25,-5.0,0,4
60,-18.75,0.0,-7.25,0.0,-10.0,-12.0,0,4
61,30.0,2.75,-11.25,3.75,10.0,2.0,1,4
62,-13.5,-0.25,2.0,-1.25,-5.0,-1.5,0,4
63,-14.25,-2.0,12.5,-2.5,2.5,-9.5,1,4
64,89.0,3.0,4.25,3.75,35.0,11.0,1,4
65,-48.15,-2.1,0.35,-3.75,-7.0,-22.7,1,4
66,-24.0,0.2,-13.4,2.0,-12.0,4.0,0,4
67,-71.6,-3.2,-0.2,-3.0,-26.0,-20.0,0,4
68,-29.8,-3.0,-6.6,-5.0,-6.0,-15.6,0,4
69,34.0,1.6,-7.8,1.0,16.0,8.0,0,4
70,37.0,2.0,-17.2,2.0,13.0,16.8,1,4
71,-17.4,0.2,4.0,2.0,-7.0,-3.6,1,4
72,57.0,1.2,10.6,2.0,20.0,4.4,1,4
73,39.6,1.2,10.2,1.0,16.0,3.6,1,4
74,-40.4,-1.2,3.4,-1.0,-14.0,-10.0,0,4
75,20.0,2.2,6.0,4.0,2.0,4.0,1,4
76,-43.8,-1.2,-15.2,-1.0,-12.0,0.4,0,4
77,-23.2,-0.6,-14.2,-2.0,-9.0,5.2,0,4
78,13.01,-0.34,-2.15,-2.0,0.83,5.0,0,4
79,18.0,0.0,1.17,-2.0,8.33,-7.33,0,4
80,14.66,1.17,1.34,3.0,10.84,-6.34,1,4
81,8.0,1.5,-11.51,3.0,10.01,-1.01,1,4
82,-20.17,-0.16,-2.17,0.0,-4.17,-1.34,0,4
83,-92.33,-4.67,0.17,-6.0,-19.17,-25.67,0,4
84,74.0,3.0,19.33,1.0,24.99,16.34,1,4
85,10.34,0.84,3.16,1.0,5.83,-7.34,1,4
86,-25.67,-2.0,8.84,-6.0,-12.51,-8.0,1,4
87,-15.33,-0.33,1.33,2.0,-0.83,-8.67,0,4
88,-1.34,1.0,-4.5,1.0,-0.01,3.0,1,4
89,8.84,0.67,0.0,2.0,9.99,-13.32,1,4
90,-16.62,-1.61,-19.95,-3.0,-8.09,3.38,0,4
91,-4.15,0.29,4.15,-2.0,1.43,-0.57,0,4
92,10.27,0.86,7.86,0.0,6.42,3.7,1,4
93,43.29,2.42,7.0,2.0,12.85,1.15,1,4
94,18.56,1.15,7.43,1.0,5.01,-5.15,1,4
95,23.14,2.02,-11.42,5.0,7.14,5.72,1,4
96,-32.58,-1.57,-10.44,-1.0,-13.58,6.0,0,4
97,32.14,1.14,10.7,-2.0,10.69,8.57,0,4
98,75.85,4.0,11.0,6.0,21.43,15.73,1,4
99,27.71,1.43,-11.58,3.0,9.29,19.16,0,4
100,-71.86,-2.15,6.86,-4.0,-25.72,-2.01,0,4
101,-20.43,-1.14,-4.71,-5.0,-2.86,11.72,1,4
102,81.86,3.28,17.56,2.0,20.71,16.28,1,4
103,16.95,0.1,-2.68,-0.0,4.39,19.36,0,4
104,-47.99,-2.11,-8.0,-4.0,-18.14,-2.0,0,4
105,-3.27,-1.5,15.0,-2.0,1.25,-1.5,1,4
106,7.26,0.74,1.51,3.0,1.89,-5.76,1,4
107,-37.87,-0.98,-10.87,0.0,-3.13,-3.0,0,4
108,-0.37,0.01,-4.62,-1.0,4.37,7.01,1,4
109,-36.86,-1.5,5.61,-1.0,-11.89,-18.77,0,4
110,24.63,1.24,16.24,1.0,3.12,4.99,1,4
111,9.61,-0.13,13.37,0.0,-3.13,5.52,0,4
112,8.37,0.37,10.87,0.0,-0.02,-5.01,0,4
113,-24.0,0.0,-9.26,-1.0,-4.36,2.75,0,4
114,-5.25,-1.38,-8.75,-1.0,-3.14,0.75,0,4
115,65.74,1.6,23.86,4.0,25.0,-8.24,1,4
116,-28.31,-0.77,3.06,-1.0,-5.35,-4.53,0,4
117,-6.22,-0.46,-13.79,-0.0,-8.32,2.68,0,4
118,-42.45,-1.8,-0.89,-1.0,-18.34,-5.55,0,4
119,44.57,1.88,10.78,4.0,12.79,14.67,1,4
120,-6.99,-0.57,5.11,1.0,-1.67,-10.0,0,4
121,-9.21,0.67,5.12,1.0,-6.12,14.89,1,4
122,40.88,2.44,15.78,3.0,4.99,10.45,1,4
123,-11.67,-1.9,-6.31,-8.0,-8.33,6.45,1,4
124,-13.23,-1.01,-0.13,-2.0,1.66,-2.2,0,4
125,66.66,2.67,14.35,-1.0,23.88,-1.56,1,4
126,13.35,0.34,4.24,-1.0,4.44,-7.34,1,4
127,48.21,1.88,6.99,2.0,17.22,6.69,1,4
128,-6.33,-0.79,7.46,0.0,-0.54,-1.81,1,4
129,-44.32,-2.68,-12.31,-5.0,-14.24,-1.28,0,4
